Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AB-WA,Recall,0.577962577962578,0.7286902286902287,0.7858627858627859,0.8201663201663202,0.8471933471933472,0.8814968814968815,0.8804573804573804,0.8981288981288982,0.895010395010395,0.9012474012474012,0.9147609147609148,0.920997920997921,0.9251559251559252,0.9303534303534304,0.9365904365904366,0.9251559251559252,0.9376299376299376,0.9345114345114344,0.9334719334719336,0.9355509355509356
AB-WA,Precision,0.2176977290524667,0.1372357086922474,0.0986687548942834,0.0772317932654659,0.0638214565387627,0.0553380318454711,0.0473766640563821,0.0422866092404072,0.0374575828765335,0.0339467501957713,0.0313234142521534,0.0289089010702166,0.0268056141196313,0.025030764067569,0.0235186635343252,0.0217795614722004,0.0207747938642959,0.0195553815365874,0.0185055434200222,0.0176194205168363
AB-WA,CSSR,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305,0.000181208661774,0.0002265108272175,0.000271812992661,0.0003171151581045,0.000362417323548,0.0004077194889915,0.000453021654435,0.0004983238198785,0.000543625985322,0.0005889281507656,0.0006342303162091,0.0006795324816526,0.0007248346470961,0.0007701368125396,0.0008154389779831,0.0008607411434266,0.0009060433088701
IA-DS,Recall,0.4245371236207219,0.6246493360763045,0.7265756498971386,0.7877314381896391,0.8230783616981485,0.8501963717972695,0.8672152608939593,0.8808677763231719,0.8958294370675145,0.901440059846643,0.9081728071815972,0.9115391808490744,0.9182719281840284,0.922012343370114,0.9244436132410696,0.9255657377968954,0.9302412567795024,0.9326725266504582,0.9336076304469796,0.9373480456330652
IA-DS,Precision,0.867737003058104,0.6383792048929664,0.4950305810397553,0.4025229357798165,0.3364678899082569,0.2896279306829765,0.2532219309742246,0.2250573394495413,0.2034488617057424,0.1842507645259938,0.168751737559077,0.1552624872579001,0.1443777934603622,0.1346111839231105,0.1259683995922528,0.1182387232415902,0.11184565569347,0.1059080869860686,0.1004345726702076,0.0957951070336391
IA-DS,CSSR,1.5561053794562967e-05,3.1122107589125934e-05,4.66831613836889e-05,6.224421517825187e-05,7.780526897281484e-05,9.33663227673778e-05,0.0001089273765619,0.0001244884303565,0.000140049484151,0.0001556105379456,0.0001711715917401,0.0001867326455347,0.0002022936993293,0.0002178547531238,0.0002334158069184,0.000248976860713,0.0002645379145075,0.0002800989683021,0.0002956600220966,0.0003112210758912
WA-AB,Recall,0.3822957198443579,0.4785992217898833,0.5428015564202334,0.5758754863813229,0.6021400778210116,0.6011673151750972,0.6459143968871596,0.6546692607003891,0.6575875486381323,0.6712062256809338,0.6906614785992218,0.6974708171206225,0.6877431906614786,0.7354085603112841,0.7159533073929961,0.7217898832684825,0.7373540856031129,0.7480544747081712,0.7373540856031129,0.7519455252918288
WA-AB,Precision,0.3635522664199815,0.2275670675300647,0.1720629047178538,0.1369102682701202,0.1145235892691951,0.095282146160962,0.0877494383507334,0.0778214616096207,0.0694829890019529,0.0638297872340425,0.0597090236313178,0.05527289546716,0.0503095424464527,0.0499537465309898,0.0453900709219858,0.042900092506938,0.0412472111878979,0.0395210196320279,0.0369053994839086,0.0357539315448658
WA-AB,CSSR,0.0009157509157509,0.0018315018315018,0.0027472527472527,0.0036630036630036,0.0045787545787545,0.0054945054945054,0.0064102564102564,0.0073260073260073,0.0082417582417582,0.0091575091575091,0.01007326007326,0.0109890109890109,0.0119047619047619,0.0128205128205128,0.0137362637362637,0.0146520146520146,0.0155677655677655,0.0164835164835164,0.0173992673992674,0.0183150183150183
IA-DA,Recall,0.972072072072072,0.991891891891892,0.994144144144144,0.995945945945946,0.9968468468468468,0.9972972972972972,0.9968468468468468,0.995945945945946,0.9968468468468468,0.9981981981981982,0.9977477477477478,0.9972972972972972,0.9972972972972972,0.9981981981981982,0.9972972972972972,0.9972972972972972,0.9977477477477478,0.9977477477477478,0.9977477477477478,0.9977477477477478
IA-DA,Precision,0.8249235474006116,0.4208715596330275,0.2812181447502548,0.211295871559633,0.1691896024464831,0.1410550458715596,0.1208497160332022,0.1056479357798165,0.0939942235813795,0.0847094801223241,0.0769738671114817,0.0705275229357798,0.0651023288637967,0.0605067715159458,0.0564220183486238,0.0528956422018348,0.0498066198956646,0.0470395854570166,0.0445638178013841,0.0423356269113149
