left_num_tuples,right_num_tuples,merge_df,golden_df,candidate_set_df,recall,precision,cssr,topK
2616,2294,2158,2220,2616,0.972072072072072,0.8249235474006116,0.00043591979075850045,1
2616,2294,2202,2220,5232,0.9918918918918919,0.4208715596330275,0.0008718395815170009,2
2616,2294,2207,2220,7848,0.9941441441441441,0.28121814475025486,0.0013077593722755014,3
2616,2294,2211,2220,10464,0.995945945945946,0.21129587155963303,0.0017436791630340018,4
2616,2294,2213,2220,13080,0.9968468468468469,0.16918960244648318,0.002179598953792502,5
2616,2294,2214,2220,15696,0.9972972972972973,0.14105504587155962,0.0026155187445510027,6
2616,2294,2213,2220,18312,0.9968468468468469,0.12084971603320227,0.003051438535309503,7
2616,2294,2211,2220,20928,0.995945945945946,0.10564793577981652,0.0034873583260680036,8
2616,2294,2213,2220,23544,0.9968468468468469,0.09399422358137954,0.003923278116826504,9
2616,2294,2216,2220,26160,0.9981981981981982,0.08470948012232415,0.004359197907585004,10
2616,2294,2215,2220,28776,0.9977477477477478,0.07697386711148178,0.004795117698343505,11
2616,2294,2214,2220,31392,0.9972972972972973,0.07052752293577981,0.0052310374891020054,12
2616,2294,2214,2220,34008,0.9972972972972973,0.06510232886379676,0.005666957279860506,13
2616,2294,2216,2220,36624,0.9981981981981982,0.06050677151594583,0.006102877070619006,14
2616,2294,2214,2220,39240,0.9972972972972973,0.056422018348623856,0.006538796861377506,15
2616,2294,2214,2220,41856,0.9972972972972973,0.05289564220183486,0.006974716652136007,16
2616,2294,2215,2220,44472,0.9977477477477478,0.049806619895664685,0.0074106364428945075,17
2616,2294,2215,2220,47088,0.9977477477477478,0.04703958545701665,0.007846556233653008,18
2616,2294,2215,2220,49704,0.9977477477477478,0.044563817801384194,0.008282476024411508,19
2616,2294,2215,2220,52320,0.9977477477477478,0.04233562691131498,0.008718395815170008,20
