,Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,RI-AB,Recall,0.3492217898832684,0.4649805447470817,0.5301556420233463,0.5758754863813229,0.6060311284046692,0.6332684824902723,0.6498054474708171,0.6663424124513618,0.6819066147859922,0.7023346303501945,0.708171206225681,0.7208171206225681,0.7315175097276264,0.7373540856031129,0.7441634241245136,0.7509727626459144,0.754863813229572,0.7607003891050583,0.7675097276264592,0.77431906614786
1,RI-AB,Precision,0.3320999074930619,0.2210915818686401,0.1680542707369719,0.1369102682701202,0.115263644773358,0.1003700277520814,0.0882780494251354,0.079209065679926,0.0720526261691849,0.0667900092506938,0.0612227735261962,0.057123034227567,0.0535117056856187,0.0500858992995903,0.0471785383903792,0.0446345975948196,0.0422266964139957,0.0401891252955082,0.0384147232095038,0.0368177613320999
2,RI-AB,CSSR,0.0009157509157509158,0.0018315018315018315,0.0027472527472527475,0.003663003663003663,0.004578754578754579,0.005494505494505495,0.00641025641025641,0.007326007326007326,0.008241758241758242,0.009157509157509158,0.010073260073260074,0.01098901098901099,0.011904761904761904,0.01282051282051282,0.013736263736263736,0.014652014652014652,0.015567765567765568,0.016483516483516484,0.0173992673992674,0.018315018315018316
3,WA-AG,Recall,0.6263924592973437,0.7874892887746359,0.8508997429305912,0.8877463581833762,0.9160239931448158,0.932305055698372,0.9425878320479862,0.9511568123393316,0.9588688946015425,0.9640102827763496,0.974293059125964,0.9777206512425022,0.9794344473007712,0.9820051413881749,0.9828620394173092,0.9862896315338476,0.9880034275921166,0.9880034275921166,0.9880034275921166,0.988860325621251
4,WA-AG,Precision,0.5363169479090242,0.3371239911958914,0.2428466617754952,0.19002201027146,0.1568598679383712,0.1330398630471998,0.1152918981238863,0.1017975055025678,0.0912203472731719,0.082538517975055,0.075835389848596,0.0697603325996576,0.0645070263558891,0.0600565978408971,0.0561017363658596,0.0527787967718268,0.049760476457641,0.0469960055433276,0.044522531567363,0.0423330887747615
5,WA-AG,CSSR,0.00030998140111593303,0.0006199628022318661,0.0009299442033477991,0.0012399256044637321,0.0015499070055796653,0.0018598884066955983,0.0021698698078115313,0.0024798512089274642,0.002789832610043397,0.0030998140111593306,0.0034097954122752636,0.0037197768133911966,0.0040297582145071295,0.0043397396156230625,0.0046497210167389955,0.0049597024178549285,0.0052696838189708614,0.005579665220086794,0.005889646621202728,0.006199628022318661
6,RI-WA,Recall,0.3492217898832684,0.4649805447470817,0.5301556420233463,0.5758754863813229,0.6060311284046692,0.6332684824902723,0.6498054474708171,0.6663424124513618,0.6819066147859922,0.7023346303501945,0.708171206225681,0.7208171206225681,0.7315175097276264,0.7373540856031129,0.7441634241245136,0.7509727626459144,0.754863813229572,0.7607003891050583,0.7675097276264592,0.77431906614786
7,RI-WA,Precision,0.3320999074930619,0.2210915818686401,0.1680542707369719,0.1369102682701202,0.115263644773358,0.1003700277520814,0.0882780494251354,0.079209065679926,0.0720526261691849,0.0667900092506938,0.0612227735261962,0.057123034227567,0.0535117056856187,0.0500858992995903,0.0471785383903792,0.0446345975948196,0.0422266964139957,0.0401891252955082,0.0384147232095038,0.0368177613320999
8,RI-WA,CSSR,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305246,0.0001812086617740328,0.000226510827217541,0.0002718129926610492,0.0003171151581045574,0.0003624173235480656,0.0004077194889915738,0.000453021654435082,0.0004983238198785902,0.0005436259853220984,0.0005889281507656066,0.0006342303162091148,0.000679532481652623,0.0007248346470961312,0.0007701368125396393,0.0008154389779831476,0.0008607411434266558,0.000906043308870164
9,AB-WA,Recall,0.4729729729729729,0.6299376299376299,0.7058212058212058,0.735966735966736,0.761954261954262,0.7723492723492723,0.7879417879417879,0.7983367983367984,0.8087318087318087,0.817047817047817,0.8232848232848233,0.8305613305613305,0.8347193347193347,0.8367983367983368,0.8388773388773388,0.8451143451143451,0.8534303534303534,0.8586278586278586,0.8617463617463618,0.8638253638253638
