,Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,AB-WA,Recall,0.6403326403326404,0.7931392931392931,0.8690228690228691,0.9054054054054054,0.9261954261954262,0.9407484407484408,0.9521829521829522,0.9594594594594594,0.9646569646569648,0.9667359667359668,0.96985446985447,0.9708939708939708,0.9708939708939708,0.972972972972973,0.972972972972973,0.976091476091476,0.9771309771309772,0.9823284823284824,0.9833679833679834,0.9833679833679834
1,AB-WA,Precision,0.2411902897415818,0.1493735317149569,0.1091098929783346,0.0852584181675802,0.0697729052466718,0.0590576872879143,0.0512361561695939,0.0451742364917776,0.0403759136790811,0.0364205991775993,0.0332205803809862,0.0304919852437073,0.0281545788870802,0.0262096774193548,0.0244725076476586,0.0230276871765946,0.0217075029443687,0.0206214812551826,0.0195701193653157,0.0186048341101736
2,AB-WA,CSSR,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305246,0.0001812086617740328,0.000226510827217541,0.0002718129926610492,0.0003171151581045574,0.0003624173235480656,0.00040768401352920614,0.0004529329657791628,0.0004981641802979357,0.0005433244438919733,0.0005884314942924593,0.0006334498560370262,0.0006784150045880416,0.0007232914644831378,0.0007680969734534987,0.000812849269230308,0.0008574241876952791,0.000901910417504331
3,RI-AB,Recall,0.2217898832684824,0.3268482490272373,0.3852140077821012,0.428988326848249,0.4708171206225681,0.5077821011673151,0.5389105058365758,0.5690661478599222,0.5817120622568094,0.6060311284046692,0.6313229571984436,0.6488326848249028,0.6585603112840467,0.669260700389105,0.6750972762645915,0.6857976653696498,0.6955252918287937,0.6994163424124513,0.7023346303501945,0.7101167315175098
4,RI-AB,Precision,0.217349857006673,0.1622404635441815,0.1296235679214402,0.1098654708520179,0.0981147374822623,0.0897369778236204,0.0830584707646177,0.0780312124849939,0.0722222222222222,0.0690381205673758,0.0666872174270448,0.0641346153846153,0.0613335749229932,0.059040590405904,0.0567271538335785,0.0551341205912254,0.0536948032442174,0.0520260492040521,0.050482450006992,0.0494613456196219
5,RI-AB,CSSR,0.0008886426555251717,0.001754412716484872,0.002587991718426501,0.003400392392066768,0.004178907740424854,0.004927773429161033,0.005650377990803522,0.006350957091012595,0.007014262333411269,0.007644529383659818,0.008244299641154406,0.008810184573366813,0.009350655511617584,0.009871642387831102,0.010363826737554767,0.010832291359580906,0.011280424786437737,0.011707379884993206,0.012115698054643475,0.012502837895992382
6,IA-DA,Recall,0.9891891891891892,0.9963963963963964,0.9977477477477478,0.9986486486486488,0.9986486486486488,0.9986486486486488,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496,0.9995495495495496
7,IA-DA,Precision,0.8491879350348028,0.4410767696909272,0.3045929592959296,0.2368589743589743,0.1961599716864271,0.169340054995417,0.1505529547459122,0.1362687300417588,0.1252469379691821,0.1164890545435455,0.1092995763964141,0.1032669396872673,0.0981597805892241,0.0937790550249345,0.0900348941004625,0.0867508503068923,0.0838497581620314,0.0812641910202885,0.0789426873954961,0.0768617942500866
8,IA-DA,CSSR,0.00043092071058925156,0.0008356795682927674,0.0012117770330259232,0.0015597130128056438,0.0018833201357616866,0.002181598585860202,0.002456048087151964,0.0027135007158682802,0.002952290111952734,0.0031742492714673834,0.003383044186536344,0.0035806744892273156,0.0037669735435346564,0.0039429411654922164,0.004106910995043579,0.004262382388307218,0.00440985525330006,0.004550162770050311,0.004683971482580538,0.004810781482873818
9,RI-WA,Recall,0.1715176715176715,0.2234927234927235,0.264033264033264,0.2952182952182952,0.3097713097713098,0.3264033264033264,0.3367983367983368,0.3544698544698544,0.369022869022869,0.3794178794178794,0.3866943866943867,0.3981288981288981,0.4043659043659043,0.4116424116424116,0.4189189189189189,0.4241164241164241,0.4293139293139293,0.4386694386694387,0.4428274428274428,0.4490644490644491
