,recall,precision,size,top-K
0,0.6403326403326404,0.24119028974158183,2554,1
1,0.7931392931392931,0.14937353171495693,5108,2
2,0.8690228690228691,0.10910989297833464,7662,3
3,0.9054054054054054,0.08525841816758027,10216,4
4,0.9261954261954262,0.06977290524667189,12770,5
5,0.9407484407484408,0.059057687287914384,15324,6
6,0.9521829521829522,0.05123615616959391,17878,7
7,0.9594594594594594,0.045174236491777604,20432,8
8,0.9646569646569647,0.0403759136790811,22984,9
9,0.9667359667359667,0.03642059917759937,25535,10
10,0.9698544698544699,0.03322058038098629,28085,11
11,0.9708939708939709,0.030491985243707356,30631,12
12,0.9708939708939709,0.028154578887080242,33174,13
13,0.972972972972973,0.02620967741935484,35712,14
14,0.972972972972973,0.02447250764765864,38247,15
15,0.9760914760914761,0.02302768717659465,40777,16
16,0.9771309771309772,0.02170750294436875,43303,17
17,0.9823284823284824,0.020621481255182646,45826,18
18,0.9833679833679834,0.019570119365315792,48339,19
19,0.9833679833679834,0.01860483411017366,50847,20
