,recall,precision,size,top-K
0,0.44230409575462876,0.9040519877675841,2616,1
1,0.6491490555451656,0.6634174311926605,5232,2
2,0.7501402655694782,0.511085626911315,7848,3
3,0.8013839536188517,0.40949923547400613,10464,4
4,0.8331774827005798,0.34059633027522934,13080,5
5,0.8524406209089209,0.29041095890410956,15695,6
6,0.8657190948195249,0.25281267067176405,18310,7
7,0.8748831120254348,0.22356033452807647,20925,8
8,0.881615859360389,0.20025488530161428,23540,9
9,0.887600523658126,0.1814636384491856,26154,10
10,0.8917149803628203,0.1657397107897664,28768,11
11,0.8939592294744717,0.15232146840444855,31381,12
12,0.8963904993454274,0.14099546978878624,33994,13
13,0.8997568730129044,0.13142295189444642,36607,14
14,0.9023751636431644,0.12302396736359,39220,15
15,0.90480643351412,0.11565861821659096,41830,16
16,0.9059285580699458,0.10901316529762574,44435,17
17,0.9070506826257715,0.10311031740969875,47037,18
18,0.90873386945951,0.0978906863831416,49637,19
19,0.91004301477464,0.09315949686979495,52233,20
