,recall,precision,size,top-K
0,0.22178988326848248,0.21734985700667303,1049,1
1,0.32684824902723736,0.16224046354418156,2071,2
2,0.3852140077821012,0.12962356792144025,3055,3
3,0.428988326848249,0.10986547085201794,4014,4
4,0.4708171206225681,0.09811473748226232,4933,5
5,0.5077821011673151,0.08973697782362042,5817,6
6,0.5389105058365758,0.0830584707646177,6670,7
7,0.5690661478599222,0.07803121248499399,7497,8
8,0.5817120622568094,0.07222222222222222,8280,9
9,0.6060311284046692,0.06903812056737589,9024,10
10,0.6313229571984436,0.0666872174270448,9732,11
11,0.6488326848249028,0.06413461538461539,10400,12
12,0.6585603112840467,0.061333574922993295,11038,13
13,0.669260700389105,0.05904059040590406,11653,14
14,0.6750972762645915,0.05672715383357855,12234,15
15,0.6857976653696498,0.055134120591225466,12787,16
16,0.6955252918287937,0.053694803244217486,13316,17
17,0.6994163424124513,0.0520260492040521,13820,18
18,0.7023346303501945,0.05048245000699203,14302,19
19,0.7101167315175098,0.04946134561962193,14759,20
