,recall,precision,size,top-K
0,0.17151767151767153,0.06506309148264984,2536,1
1,0.2234927234927235,0.04263335316279992,5043,2
2,0.26403326403326405,0.03373173970783533,7530,3
3,0.29521829521829523,0.028405681136227247,9998,4
4,0.3097713097713098,0.023953058435817055,12441,5
5,0.3264033264033264,0.021127708249226215,14862,6
6,0.3367983367983368,0.01876846434571048,17263,7
7,0.35446985446985446,0.017360757560329905,19642,8
8,0.369022869022869,0.01613049800072701,22008,9
9,0.3794178794178794,0.014984194753479207,24359,10
10,0.3866943866943867,0.01393362798711514,26698,11
11,0.3981288981288981,0.013200068929863864,29015,12
12,0.40436590436590436,0.012420575369583959,31319,13
13,0.41164241164241167,0.011784662083742523,33603,14
14,0.4189189189189189,0.011235955056179775,35867,15
15,0.42411642411642414,0.010705851482550512,38110,16
16,0.4293139293139293,0.010239500173550851,40334,17
17,0.4386694386694387,0.009920308422859023,42539,18
18,0.44282744282744285,0.009524022446287644,44729,19
19,0.4490644490644491,0.009211283822682787,46899,20
