,recall,precision,size,top-K
0,0.7441634241245136,0.7076780758556892,1081,1
1,0.853112840466926,0.4060185185185185,2160,2
2,0.9036964980544747,0.2873492112588927,3233,3
3,0.9299610894941635,0.2224290367612843,4298,4
4,0.9474708171206225,0.1821582195623714,5347,5
5,0.9610894941634242,0.15507769580913514,6371,6
6,0.9727626459143969,0.13563000135630002,7373,7
7,0.9747081712062257,0.12012948087759262,8341,8
8,0.9785992217898832,0.1085455330168321,9268,9
9,0.9815175097276264,0.09929147805550088,10162,10
10,0.9824902723735408,0.09165986024140121,11019,11
11,0.9854085603112841,0.08562251711605105,11831,12
12,0.9873540856031129,0.08054916276485993,12601,13
13,0.9873540856031129,0.07609266061923682,13339,14
14,0.9883268482490273,0.07235951855280963,14041,15
15,0.9902723735408561,0.06917170619012027,14717,16
16,0.9902723735408561,0.06631921824104235,15350,17
17,0.9922178988326849,0.06396588486140725,15946,18
18,0.9922178988326849,0.06183692027887239,16495,19
19,0.9941634241245136,0.0600929029223261,17007,20
