,recall,precision,size,top-K
0,0.5758354755784062,0.4930300807043287,1363,1
1,0.715509854327335,0.3067597354886113,2722,2
2,0.781491002570694,0.22358421181662172,4079,3
3,0.8234790059982862,0.17701234113096334,5429,4
4,0.8526135389888603,0.1470370917688784,6767,5
5,0.8731790916880892,0.12583353914546802,8098,6
6,0.8903170522707797,0.11028553232140961,9421,7
7,0.9005998286203942,0.097995337995338,10725,8
8,0.9117395029991431,0.08863712095968011,12004,9
9,0.9160239931448158,0.08058193879089401,13266,10
10,0.9220222793487575,0.0741608656695844,14509,11
11,0.9297343616109683,0.0689633254941842,15733,12
12,0.9348757497857755,0.06438477426969608,16945,13
13,0.9357326478149101,0.0602017751805502,18139,14
14,0.9400171379605827,0.056801118417646144,19313,15
15,0.9417309340188518,0.05371456500488758,20460,16
16,0.9425878320479862,0.05096131572851517,21585,17
17,0.9451585261353899,0.04859887204793796,22696,18
18,0.9477292202227935,0.04649598520200109,23787,19
19,0.9485861182519281,0.04452041021516187,24865,20
