,Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,WA-AG,Recall,0.6743787489288775,0.829477292202228,0.8928877463581834,0.9245929734361612,0.934018851756641,0.9502999143101972,0.9562982005141388,0.9605826906598116,0.9648671808054842,0.9674378748928878,0.9674378748928878,0.9682947729220224,0.9717223650385604,0.974293059125964,0.9751499571550986,0.9777206512425022,0.9794344473007712,0.9794344473007712,0.9811482433590404,0.9828620394173092
1,WA-AG,Precision,0.5774027879677183,0.35509904622157,0.2548300317926143,0.1979090242112986,0.1599413059427732,0.1356077280508681,0.1169688711875065,0.1028063096111518,0.0917909839406537,0.0828319882611885,0.0753018075101714,0.0690877965272682,0.0639990970145042,0.059584949166754,0.0556615309366593,0.0523202494497432,0.0493289025074446,0.0465884079236977,0.0442136154766961,0.0420763022743947
2,WA-AG,CSSR,0.00030998140111593303,0.0006199628022318661,0.0009299442033477991,0.0012399256044637321,0.0015499070055796653,0.0018598884066955983,0.0021698698078115313,0.0024798512089274642,0.002789832610043397,0.0030998140111593306,0.0034097954122752636,0.0037197768133911966,0.0040297582145071295,0.0043397396156230625,0.0046497210167389955,0.0049597024178549285,0.0052696838189708614,0.005579665220086794,0.005889646621202728,0.006199628022318661
3,IA-DS,Recall,0.4310828501963717,0.6446605573218628,0.7585561997381709,0.8249485692911913,0.8662801570974378,0.8941462502337759,0.9119132223676828,0.9266878623527212,0.936599962595848,0.9452029175238452,0.9513746025808864,0.9571722461193192,0.9614737235833176,0.9644660557321862,0.9674583878810548,0.9700766785113148,0.971572844585749,0.9738170936974004,0.9745651767346176,0.9755002805311388
4,IA-DS,Precision,0.8811162079510704,0.6588302752293578,0.5168195718654435,0.4215405198776758,0.3541284403669725,0.3045998980632008,0.2662734818698121,0.2367641437308868,0.2127081209650017,0.1931957186544342,0.1767792604948568,0.1630351681957186,0.1511703128675605,0.1408093053735255,0.1318297655453618,0.1239248853211009,0.1168150746537147,0.1105801902820251,0.1048406566875905,0.0996941896024464
5,IA-DS,CSSR,1.5561053794562967e-05,3.1122107589125934e-05,4.6683161383688904e-05,6.224421517825187e-05,7.780526897281484e-05,9.336632276737781e-05,0.00010892737656194078,0.00012448843035650373,0.0001400494841510667,0.00015561053794562967,0.00017117159174019264,0.00018673264553475561,0.00020229369932931858,0.00021785475312388155,0.00023341580691844453,0.00024897686071300747,0.00026453791450757044,0.0002800989683021334,0.0002956600220966964,0.00031122107589125935
6,IA-DA,Recall,0.9923423423423424,0.9986486486486488,0.9990990990990992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,IA-DA,Precision,0.8421253822629969,0.4237385321100917,0.2826197757390418,0.2121559633027523,0.1697247706422018,0.1414373088685015,0.1212319790301441,0.1060779816513761,0.0942915392456676,0.0848623853211009,0.0771476230191826,0.0707186544342507,0.0652787579393084,0.060615989515072,0.0565749235474006,0.053038990825688,0.0499190501888828,0.0471457696228338,0.0446644133268952,0.0424311926605504
8,IA-DA,CSSR,0.00043591979075850045,0.0008718395815170009,0.0013077593722755014,0.0017436791630340018,0.002179598953792502,0.0026155187445510027,0.003051438535309503,0.0034873583260680036,0.003923278116826504,0.004359197907585004,0.004795117698343505,0.0052310374891020054,0.005666957279860506,0.006102877070619006,0.006538796861377506,0.006974716652136007,0.0074106364428945075,0.007846556233653008,0.008282476024411508,0.008718395815170008
9,AB-WA,Recall,0.7879417879417879,0.9282744282744284,0.9667359667359668,0.9792099792099792,0.9823284823284824,0.9875259875259876,0.9906444906444908,0.9927234927234928,0.9948024948024948,0.9958419958419958,0.9958419958419958,0.9958419958419958,0.9958419958419958,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.997920997920998,0.997920997920998
