,Dataset,Ablation,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,AB-AG,wo-WarmUp,Recall,0.6795201371036846,0.8397600685518424,0.8946015424164524,0.9220222793487576,0.9383033419023136,0.948586118251928,0.9597257926306768,0.9682947729220224,0.976006855184233,0.9794344473007712,0.9802913453299056,0.983718937446444,0.9880034275921166,0.9897172236503856,0.9914310197086548,0.9940017137960584,0.9940017137960584,0.9948586118251928,0.9957155098543272,0.9957155098543272
1,AB-AG,wo-WarmUp,Precision,0.5818048422597212,0.359501100513573,0.2553191489361702,0.1973587674247982,0.1606749816581071,0.1353631694790902,0.1173881144534115,0.1036316947909024,0.0928507377516915,0.0838591342626559,0.0763022743947175,0.070188310100269,0.0650713922907613,0.0605282465150403,0.0565908535094155,0.0531914893617021,0.0500625782227784,0.0473220836390315,0.0448700621693632,0.042626559060895
2,AB-AG,wo-WarmUp,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
3,RI-WA,wo-Enrich,Recall,0.7474012474012474,0.8877338877338877,0.9365904365904366,0.9646569646569648,0.9802494802494802,0.9833679833679834,0.9854469854469856,0.9896049896049895,0.9896049896049895,0.9916839916839916,0.9937629937629938,0.9937629937629938,0.9948024948024948,0.9948024948024948,0.9948024948024948,0.9948024948024948,0.9948024948024948,0.9958419958419958,0.9958419958419958,0.9958419958419958
4,RI-WA,wo-Enrich,Precision,0.2815191855912294,0.1671887235708692,0.1175933176716262,0.0908379013312451,0.0738449490994518,0.0617332289219524,0.0530260655554312,0.0465935787000783,0.0414165144000696,0.037353171495693,0.034028618210294,0.0311929000261028,0.0288235648454912,0.026764738785099,0.0249804228660924,0.0234191464369616,0.0220415495877285,0.0208387714260854,0.0197419939826072,0.0187548942834769
5,RI-WA,wo-Enrich,Cssr,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305,0.000181208661774,0.0002265108272175,0.000271812992661,0.0003171151581045,0.000362417323548,0.0004077194889915,0.000453021654435,0.0004983238198785,0.000543625985322,0.0005889281507656,0.0006342303162091,0.0006795324816526,0.0007248346470961,0.0007701368125396,0.0008154389779831,0.0008607411434266,0.0009060433088701
6,RI-WA,wo-target,Recall,0.6143451143451143,0.7671517671517671,0.8388773388773388,0.8690228690228691,0.8981288981288982,0.9147609147609148,0.9324324324324323,0.9407484407484408,0.945945945945946,0.9532224532224532,0.9563409563409564,0.9604989604989606,0.9615384615384616,0.9656964656964656,0.96985446985447,0.974012474012474,0.975051975051975,0.9771309771309772,0.9792099792099792,0.9802494802494802
7,RI-WA,wo-target,Precision,0.2314017227877838,0.1444792482380579,0.105324980422866,0.0818324197337509,0.0676585747846515,0.0574262594622813,0.0501733974717529,0.0442932654659357,0.0395893152353606,0.0359044635865309,0.0327472058090695,0.0301487862176977,0.0278597674838865,0.0259816534287951,0.0243539545810493,0.0229297180892717,0.0216039430650882,0.0204472287479335,0.0194122738325845,0.0184612372748629
8,RI-WA,wo-target,Cssr,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305,0.000181208661774,0.0002265108272175,0.000271812992661,0.0003171151581045,0.000362417323548,0.0004077194889915,0.000453021654435,0.0004983238198785,0.000543625985322,0.0005889281507656,0.0006342303162091,0.0006795324816526,0.0007248346470961,0.0007701368125396,0.0008154389779831,0.0008607411434266,0.0009060433088701
9,WA-AG,wo-Enrich,Recall,0.6555269922879178,0.8114824335904027,0.87146529562982,0.906598114824336,0.922879177377892,0.9374464438731792,0.9460154241645244,0.9511568123393316,0.9631533847472152,0.9682947729220224,0.9725792630676948,0.9768637532133676,0.9794344473007712,0.9794344473007712,0.9802913453299056,0.9811482433590404,0.9811482433590404,0.9820051413881749,0.983718937446444,0.9854327335047128
10,WA-AG,wo-Enrich,Precision,0.5612619222303742,0.3473954512105649,0.2487160674981658,0.194057226705796,0.1580337490829053,0.1337735387625336,0.1157111413897914,0.1017975055025678,0.0916279448928018,0.0829053558327219,0.0757019942639898,0.0696991929567131,0.0645070263558891,0.0598993816161827,0.0559550012227928,0.0525036683785766,0.0494152172974839,0.0467106872095866,0.0443294590106962,0.0421863536316947
11,WA-AG,wo-Enrich,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
12,WA-AG,wo-target,Recall,0.6512425021422451,0.8157669237360754,0.8723221936589546,0.9108826049700086,0.9288774635818338,0.9425878320479862,0.948586118251928,0.9545844044558698,0.961439588688946,0.9640102827763496,0.9657240788346186,0.9717223650385604,0.9734361610968296,0.9734361610968296,0.976006855184233,0.976006855184233,0.9777206512425022,0.9802913453299056,0.9802913453299056,0.9828620394173092
13,WA-AG,wo-target,Precision,0.5575935436537051,0.3492296404988995,0.2489606260699437,0.1949743213499633,0.1590608950843727,0.1345072144778674,0.1160255738392202,0.1021643433602347,0.0914649058449498,0.082538517975055,0.0751684119255652,0.0693323550990462,0.0641119702014786,0.0595325437585158,0.0557104426510149,0.0522285399853264,0.0492425877174053,0.0466291676856607,0.0441750009653627,0.0420763022743947
14,WA-AG,wo-target,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
15,AB-AG,wo-target,Recall,0.6838046272493573,0.8397600685518424,0.9023136246786632,0.934018851756641,0.9494430162810624,0.9622964867180804,0.9665809768637532,0.9725792630676948,0.976006855184233,0.9828620394173092,0.988860325621251,0.9914310197086548,0.9914310197086548,0.9922879177377892,0.9922879177377892,0.9922879177377892,0.9922879177377892,0.9931448157669236,0.9940017137960584,0.9948586118251928
16,AB-AG,wo-target,Precision,0.5854732208363903,0.359501100513573,0.2575201760821717,0.1999266324284666,0.162582538517975,0.1373196380533137,0.1182266009852216,0.104090242112986,0.0928507377516915,0.0841526045487894,0.0769692523177482,0.0707385668867693,0.0652971386647102,0.0606854627397547,0.056639765223771,0.0530997798972854,0.0499762634327392,0.0472405641151055,0.0447928331466965,0.0425898752751283
17,AB-AG,wo-target,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
18,RI-AB,wo-WarmUp,Recall,0.8073929961089494,0.9163424124513618,0.9552529182879378,0.9669260700389104,0.9766536964980544,0.9824902723735408,0.9863813229571984,0.9883268482490272,0.9912451361867703,0.9931906614785992,0.9941634241245136,0.9941634241245136,0.9941634241245136,0.9941634241245136,0.9970817120622568,0.9980544747081712,0.9990272373540856,1.0,1.0,1.0
