,recall,precision,Top-K,CSSR
0,0.6795201371036846,0.5818048422597212,1,0.00030998140111593303
1,0.8397600685518424,0.359501100513573,2,0.0006199628022318661
2,0.8946015424164524,0.2553191489361702,3,0.0009299442033477991
3,0.9220222793487575,0.19735876742479824,4,0.0012399256044637321
4,0.9383033419023136,0.16067498165810712,5,0.0015499070055796653
5,0.9485861182519281,0.13536316947909025,6,0.0018598884066955983
6,0.9597257926306769,0.11738811445341159,7,0.0021698698078115313
7,0.9682947729220223,0.10363169479090242,8,0.0024798512089274642
8,0.976006855184233,0.09285073775169153,9,0.002789832610043397
9,0.9794344473007712,0.08385913426265591,10,0.0030998140111593306
10,0.9802913453299057,0.07630227439471754,11,0.0034097954122752636
11,0.9837189374464439,0.07018831010026902,12,0.0037197768133911966
12,0.9880034275921166,0.06507139229076132,13,0.0040297582145071295
13,0.9897172236503856,0.06052824651504035,14,0.0043397396156230625
14,0.9914310197086547,0.056590853509415506,15,0.0046497210167389955
15,0.9940017137960583,0.05319148936170213,16,0.0049597024178549285
16,0.9940017137960583,0.05006257822277847,17,0.0052696838189708614
17,0.9948586118251928,0.04732208363903155,18,0.005579665220086794
18,0.9957155098543273,0.04487006216936325,19,0.005889646621202728
19,0.9957155098543273,0.04262655906089508,20,0.006199628022318661
