,recall,precision,Top-K,CSSR
0,0.6838046272493573,0.5854732208363903,1,0.00030998140111593303
1,0.8397600685518424,0.359501100513573,2,0.0006199628022318661
2,0.9023136246786633,0.2575201760821717,3,0.0009299442033477991
3,0.934018851756641,0.19992663242846662,4,0.0012399256044637321
4,0.9494430162810625,0.16258253851797505,5,0.0015499070055796653
5,0.9622964867180805,0.13731963805331376,6,0.0018598884066955983
6,0.9665809768637532,0.11822660098522167,7,0.0021698698078115313
7,0.9725792630676949,0.10409024211298606,8,0.0024798512089274642
8,0.976006855184233,0.09285073775169153,9,0.002789832610043397
9,0.9828620394173093,0.08415260454878944,10,0.0030998140111593306
10,0.988860325621251,0.07696925231774829,11,0.0034097954122752636
11,0.9914310197086547,0.07073856688676938,12,0.0037197768133911966
12,0.9914310197086547,0.0652971386647102,13,0.0040297582145071295
13,0.9922879177377892,0.060685462739754746,14,0.0043397396156230625
14,0.9922879177377892,0.056639765223771094,15,0.0046497210167389955
15,0.9922879177377892,0.0530997798972854,16,0.0049597024178549285
16,0.9922879177377892,0.0499762634327392,17,0.0052696838189708614
17,0.9931448157669237,0.04724056411510557,18,0.005579665220086794
18,0.9940017137960583,0.04479283314669653,19,0.005889646621202728
19,0.9948586118251928,0.04258987527512839,20,0.006199628022318661
