,recall,precision,Top-K,CSSR
0,0.6606683804627249,0.5656639765223771,1,0.00030998140111593303
1,0.8131962296486718,0.34812912692589876,2,0.0006199628022318661
2,0.8800342759211653,0.25116165321594525,3,0.0009299442033477991
3,0.9117395029991431,0.19515774027879676,4,0.0012399256044637321
4,0.9297343616109683,0.15920763022743947,5,0.0015499070055796653
5,0.9451585261353899,0.13487405233553437,6,0.0018598884066955983
6,0.9597257926306769,0.11738811445341159,7,0.0021698698078115313
7,0.9648671808054842,0.1032648569332355,8,0.0024798512089274642
8,0.9674378748928878,0.09203554251243173,9,0.002789832610043397
9,0.9725792630676949,0.08327219369038885,10,0.0030998140111593306
10,0.9768637532133676,0.07603548322550524,11,0.0034097954122752636
11,0.9794344473007712,0.06988261188554659,12,0.0037197768133911966
12,0.9811482433590403,0.0646198995428636,13,0.0040297582145071295
13,0.9811482433590403,0.06000419243265905,14,0.0043397396156230625
14,0.9828620394173093,0.05610173636585963,15,0.0046497210167389955
15,0.9828620394173093,0.052595377842993396,16,0.0049597024178549285
16,0.9837189374464439,0.049544689482542835,17,0.0052696838189708614
17,0.9854327335047129,0.04687372625743866,18,0.005579665220086794
18,0.9854327335047129,0.04440668803336294,19,0.005889646621202728
19,0.9854327335047129,0.04218635363169479,20,0.006199628022318661
