,Dataset,backbone_model,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,AB-WA,llama3,Recall,0.7817047817047817,0.9303534303534304,0.9604989604989606,0.972972972972973,0.9833679833679834,0.9896049896049895,0.9906444906444908,0.9927234927234928,0.9937629937629938,0.9937629937629938,0.9948024948024948,0.9958419958419958,0.9968814968814969,0.9968814968814969,0.997920997920998,0.998960498960499,0.998960498960499,0.998960498960499,0.998960498960499,0.998960498960499
1,AB-WA,llama3,Precision,0.2944400939702427,0.1752153484729835,0.1205951448707909,0.0916209866875489,0.0740798747063429,0.0621247716001044,0.0533057388969683,0.0467404072043852,0.0415905333681371,0.0374314800313234,0.0340642129992169,0.0312581571391281,0.0288838021805915,0.0268206734534064,0.0250587314017227,0.0235170321064996,0.0221336772767055,0.0209040285391107,0.0198038165107365,0.0188136256851996
2,AB-WA,llama3,Cssr,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305,0.000181208661774,0.0002265108272175,0.000271812992661,0.0003171151581045,0.000362417323548,0.0004077194889915,0.000453021654435,0.0004983238198785,0.000543625985322,0.0005889281507656,0.0006342303162091,0.0006795324816526,0.0007248346470961,0.0007701368125396,0.0008154389779831,0.0008607411434266,0.0009060433088701
3,AB-AG,llama3,Recall,0.6812339331619537,0.8380462724935732,0.897172236503856,0.932305055698372,0.9528706083976008,0.9622964867180804,0.9725792630676948,0.9785775492716366,0.9820051413881749,0.9854327335047128,0.988860325621251,0.9914310197086548,0.9914310197086548,0.9931448157669236,0.9940017137960584,0.9957155098543272,0.996572407883462,0.996572407883462,0.9974293059125964,0.9974293059125964
4,AB-AG,llama3,Precision,0.5832721936903889,0.3587674247982392,0.256052824651504,0.1995597945707997,0.1631694790902421,0.1373196380533137,0.1189602767005554,0.1047322083639031,0.0934213744191733,0.0843727072633895,0.0769692523177482,0.0707385668867693,0.0652971386647102,0.0607378681479928,0.0567375886524822,0.0532831988261188,0.0501920504078373,0.0474036031629575,0.0449472911920299,0.0426999266324284
5,AB-AG,llama3,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
6,WA-AB,llama3,Recall,0.9173151750972762,0.9620622568093384,0.9776264591439688,0.985408560311284,0.9892996108949416,0.9931906614785992,0.995136186770428,0.9961089494163424,0.9961089494163424,0.9961089494163424,0.9961089494163424,0.9970817120622568,0.9980544747081712,0.9980544747081712,0.9980544747081712,0.9980544747081712,0.9980544747081712,0.9980544747081712,0.9980544747081712,0.9980544747081712
7,WA-AB,llama3,Precision,0.8723404255319149,0.4574468085106383,0.3098982423681776,0.2342738205365402,0.188159111933395,0.1574159728646315,0.1351922822783137,0.1184088806660499,0.1052523383698221,0.0947271045328399,0.086115549575309,0.0790163428923836,0.0730093218529851,0.0677943702920576,0.0632747456059204,0.0593200740055504,0.0558306578875768,0.0527289546716003,0.0499537465309898,0.0474560592044403
8,WA-AB,llama3,Cssr,0.0009157509157509,0.0018315018315018,0.0027472527472527,0.0036630036630036,0.0045787545787545,0.0054945054945054,0.0064102564102564,0.0073260073260073,0.0082417582417582,0.0091575091575091,0.01007326007326,0.0109890109890109,0.0119047619047619,0.0128205128205128,0.0137362637362637,0.0146520146520146,0.0155677655677655,0.0164835164835164,0.0173992673992674,0.0183150183150183
9,RI-AB,llama3,Recall,0.8424124513618677,0.9328793774319066,0.958171206225681,0.9747081712062255,0.9815175097276264,0.985408560311284,0.9873540856031128,0.990272373540856,0.9922178988326849,0.9922178988326849,0.9941634241245136,0.995136186770428,0.9961089494163424,0.9970817120622568,0.9970817120622568,0.9970817120622568,0.9980544747081712,0.9990272373540856,0.9990272373540856,0.9990272373540856
10,RI-AB,llama3,Precision,0.8011100832562442,0.4435707678075856,0.3037311131668208,0.2317298797409805,0.1866790009250694,0.1561825470243601,0.1341350601295097,0.1177150786308973,0.104841196423065,0.0943570767807585,0.0859473551425447,0.0788621646623496,0.0728670034867999,0.0677282939077573,0.0632130743139068,0.0592622571692876,0.0558306578875768,0.052780347414945,0.0500024343931057,0.0475023126734505
11,RI-AB,llama3,Cssr,0.0009157509157509,0.0018315018315018,0.0027472527472527,0.0036630036630036,0.0045787545787545,0.0054945054945054,0.0064102564102564,0.0073260073260073,0.0082417582417582,0.0091575091575091,0.01007326007326,0.0109890109890109,0.0119047619047619,0.0128205128205128,0.0137362637362637,0.0146520146520146,0.0155677655677655,0.0164835164835164,0.0173992673992674,0.0183150183150183
12,WA-AG,llama3,Recall,0.6726649528706083,0.8337617823479005,0.8886032562125107,0.9237360754070264,0.9425878320479862,0.9537275064267352,0.9682947729220224,0.9768637532133676,0.9802913453299056,0.9811482433590404,0.9828620394173092,0.987146529562982,0.988860325621251,0.9914310197086548,0.9914310197086548,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9957155098543272,0.9957155098543272
13,WA-AG,llama3,Precision,0.5759354365370506,0.3569332355099046,0.2536072389337246,0.1977256052824651,0.1614086573734409,0.136096845194424,0.1184362226181742,0.1045487894350697,0.0932583353713214,0.0840058694057226,0.0765023677716267,0.0704328686720469,0.0651278288842485,0.0606330573315166,0.0565908535094155,0.0532373440939104,0.0501057356177981,0.0473220836390315,0.0448700621693632,0.042626559060895
14,WA-AG,llama3,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
15,RI-WA,llama3,Recall,0.7442827442827443,0.8981288981288982,0.9532224532224532,0.9667359667359668,0.9792099792099792,0.9854469854469856,0.9896049896049895,0.9906444906444908,0.9937629937629938,0.9948024948024948,0.9958419958419958,0.9958419958419958,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.997920997920998,0.997920997920998,0.997920997920998
16,RI-WA,llama3,Precision,0.2803445575567737,0.1691464369616288,0.1196815452884364,0.091033672670321,0.0737666405638214,0.0618637431480031,0.0532498042286609,0.0466425215348473,0.0415905333681371,0.0374706342991386,0.0340998077881398,0.0312581571391281,0.0288838021805915,0.0268206734534064,0.0250326285565126,0.0234680892717306,0.022087613432217,0.0208822761681023,0.01978320900136,0.018794048551292
17,RI-WA,llama3,Cssr,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305,0.000181208661774,0.0002265108272175,0.000271812992661,0.0003171151581045,0.000362417323548,0.0004077194889915,0.000453021654435,0.0004983238198785,0.000543625985322,0.0005889281507656,0.0006342303162091,0.0006795324816526,0.0007248346470961,0.0007701368125396,0.0008154389779831,0.0008607411434266,0.0009060433088701
