,recall,precision,Top-K,CSSR
0,0.7442827442827443,0.2803445575567737,1,4.53021654435082e-05
1,0.8981288981288982,0.16914643696162882,2,9.06043308870164e-05
2,0.9532224532224532,0.11968154528843644,3,0.0001359064963305246
3,0.9667359667359667,0.09103367267032106,4,0.0001812086617740328
4,0.9792099792099792,0.07376664056382146,5,0.000226510827217541
5,0.9854469854469855,0.06186374314800313,6,0.0002718129926610492
6,0.9896049896049897,0.05324980422866092,7,0.0003171151581045574
7,0.9906444906444907,0.0466425215348473,8,0.0003624173235480656
8,0.9937629937629938,0.041590533368137124,9,0.0004077194889915738
9,0.9948024948024948,0.037470634299138605,10,0.000453021654435082
10,0.9958419958419958,0.03409980778813981,11,0.0004983238198785902
11,0.9958419958419958,0.03125815713912816,12,0.0005436259853220984
12,0.9968814968814969,0.02888380218059153,13,0.0005889281507656066
13,0.9968814968814969,0.02682067345340642,14,0.0006342303162091148
14,0.9968814968814969,0.02503262855651266,15,0.000679532481652623
15,0.9968814968814969,0.023468089271730618,16,0.0007248346470961312
16,0.9968814968814969,0.022087613432217053,17,0.0007701368125396393
17,0.997920997920998,0.020882276168102322,18,0.0008154389779831476
18,0.997920997920998,0.019783209001360096,19,0.0008607411434266558
19,0.997920997920998,0.018794048551292093,20,0.000906043308870164
