,recall,precision,Top-K,size
0,0.5998286203941731,0.5135730007336757,1,1363
1,0.7592116538131962,0.32501834189288337,2,2726
2,0.8234790059982862,0.2350207874786011,3,4089
3,0.8628963153384748,0.1847028613352898,4,5452
4,0.895458440445587,0.1533382245047689,5,6815
5,0.9151670951156813,0.1305942773294204,6,8178
6,0.9331619537275064,0.11413897914264752,7,9541
7,0.9460154241645244,0.1012472487160675,8,10904
8,0.9537275064267352,0.09073123012961604,9,12267
9,0.9622964867180805,0.08239178283198827,10,13630
10,0.9682947729220223,0.07536850530247449,11,14993
11,0.9717223650385605,0.06933235509904623,12,16356
12,0.974293059125964,0.06416840679496585,13,17719
13,0.9768637532133676,0.0597421653914684,14,19082
14,0.9768637532133676,0.05575935436537051,15,20445
15,0.9794344473007712,0.052411958914159944,16,21808
16,0.9811482433590403,0.049415217297483924,17,23171
17,0.9820051413881749,0.046710687209586696,18,24534
18,0.9820051413881749,0.0442522299880295,19,25897
19,0.9828620394173093,0.04207630227439472,20,27260
