,recall,precision,Top-K,size
0,0.47297297297297297,0.17815191855912293,1,2554
1,0.6299376299376299,0.11863743148003132,2,5108
2,0.7058212058212058,0.08861915948838424,3,7662
3,0.735966735966736,0.06930305403288958,4,10216
4,0.761954261954262,0.05740015661707126,5,12770
5,0.7723492723492723,0.04848603497781258,6,15324
6,0.7879417879417879,0.04239847857702204,7,17878
7,0.7983367983367984,0.037588097102584185,8,20432
8,0.8087318087318087,0.033846689289132516,9,22986
9,0.817047817047817,0.0307752545027408,10,25540
10,0.8232848232848233,0.028191072826938137,11,28094
11,0.8305613305613305,0.026070216653615245,12,30648
12,0.8347193347193347,0.02418529004276851,13,33202
13,0.8367983367983368,0.022513703993735316,14,35756
14,0.8388773388773388,0.02106499608457322,15,38310
15,0.8451143451143451,0.01989526233359436,16,40864
16,0.8534303534303534,0.018909208162513243,17,43418
17,0.8586278586278586,0.017967458452971374,18,45972
18,0.8617463617463618,0.017083625273049498,19,48526
19,0.8638253638253638,0.016268598277212217,20,51080
