,recall,precision,Top-K,size
0,0.9702702702702702,0.823394495412844,1,2616
1,0.9837837837837838,0.41743119266055045,2,5232
2,0.9873873873873874,0.2793068297655454,3,7848
3,0.9887387387387387,0.20976681957186544,4,10464
4,0.9905405405405405,0.16811926605504587,5,13080
5,0.9914414414414414,0.14022680937818552,6,15696
6,0.9936936936936936,0.12046745303626037,7,18312
7,0.9941441441441441,0.10545680428134556,8,20928
8,0.9941441441441441,0.09373938158341828,9,23544
9,0.9945945945945946,0.08440366972477065,10,26160
10,0.9945945945945946,0.07673060884070058,11,28776
11,0.9954954954954955,0.07040010193679919,12,31392
12,0.995945945945946,0.06501411432604093,13,34008
13,0.995945945945946,0.06037024901703801,14,36624
14,0.9968468468468469,0.056396534148827726,15,39240
15,0.9968468468468469,0.05287175076452599,16,41856
16,0.9968468468468469,0.0497616477783774,17,44472
17,0.9968468468468469,0.04699711179068977,18,47088
18,0.9968468468468469,0.044523579591179786,19,49704
19,0.9968468468468469,0.042297400611620795,20,52320
