,recall,precision,Top-K,size
0,0.4372545352534131,0.8937308868501529,1,2616
1,0.656068823639424,0.6704892966360856,2,5232
2,0.7688423414999065,0.5238277268093782,3,7848
3,0.8316813166261455,0.4249808868501529,4,10464
4,0.8698335515242192,0.35558103975535166,5,13080
5,0.896203478586123,0.3053007135575943,6,15696
6,0.9117262016083786,0.26621887287024903,7,18312
7,0.9231344679259398,0.23585626911314986,8,20928
8,0.9319244436132411,0.21164627930682978,9,23544
9,0.9397793155040209,0.19208715596330275,10,26160
10,0.9455769590424538,0.17570197386711148,11,28776
11,0.9498784365064522,0.1617928134556575,12,31392
12,0.9536188516925379,0.14993530933897906,13,34008
13,0.9573592668786235,0.13977173438182613,14,36624
14,0.9601645782681878,0.13083588175331295,15,39240
15,0.9618477651019263,0.1228736620795107,16,41856
16,0.9635309519356648,0.11584817413203814,17,44472
17,0.9646530764914906,0.10953958545701666,18,47088
18,0.9661492425659248,0.10393529695799131,19,49704
19,0.9665232840845334,0.09877675840978593,20,52320
