,recall,precision,Top-K,size
0,0.34922178988326846,0.33209990749306195,1,1081
1,0.4649805447470817,0.22109158186864014,2,2162
2,0.5301556420233463,0.16805427073697193,3,3243
3,0.5758754863813229,0.13691026827012026,4,4324
4,0.6060311284046692,0.115263644773358,5,5405
5,0.6332684824902723,0.10037002775208141,6,6486
6,0.6498054474708171,0.08827804942513545,7,7567
7,0.6663424124513618,0.079209065679926,8,8648
8,0.6819066147859922,0.07205262616918491,9,9729
9,0.7023346303501945,0.0667900092506938,10,10810
10,0.708171206225681,0.06122277352619628,11,11891
11,0.7208171206225681,0.057123034227567066,12,12972
12,0.7315175097276264,0.05351170568561873,13,14053
13,0.7373540856031129,0.05008589929959033,14,15134
14,0.7441634241245136,0.04717853839037928,15,16215
15,0.7509727626459144,0.04463459759481961,16,17296
16,0.754863813229572,0.042226696413995755,17,18377
17,0.7607003891050583,0.04018912529550828,18,19458
18,0.7675097276264592,0.03841472320950387,19,20539
19,0.77431906614786,0.03681776133209991,20,21620
