,recall,precision,Top-K,size
0,0.32879377431906615,0.31267345050878814,1,1081
1,0.448443579766537,0.21322849213691028,2,2162
2,0.5107003891050583,0.16188714153561518,3,3243
3,0.5496108949416343,0.13066604995374653,4,4324
4,0.5846303501945526,0.11119333950046253,5,5405
5,0.603112840466926,0.09559050262102992,6,6486
6,0.6264591439688716,0.0851063829787234,7,7567
7,0.6371595330739299,0.07574005550416281,8,8648
8,0.6507782101167315,0.06876349059512797,9,9729
9,0.6673151750972762,0.06345975948196114,10,10810
10,0.6741245136186771,0.058279370952821465,11,11891
11,0.683852140077821,0.0541936478569226,12,12972
12,0.7013618677042801,0.051305771009748806,13,14053
13,0.7091439688715954,0.04816968415488305,14,15134
14,0.7130350194552529,0.045205057045945116,15,16215
15,0.7208171206225681,0.0428422756706753,16,17296
16,0.730544747081712,0.040866300266637644,17,18377
17,0.7354085603112841,0.03885291396854764,18,19458
18,0.7392996108949417,0.03700277520814061,19,20539
19,0.7431906614785992,0.03533765032377428,20,21620
