,recall,precision,Top-K,size
0,0.6263924592973437,0.5363169479090242,1,1363
1,0.7874892887746359,0.3371239911958914,2,2726
2,0.8508997429305912,0.24284666177549524,3,4089
3,0.8877463581833762,0.19002201027146,4,5452
4,0.9160239931448158,0.15685986793837123,5,6815
5,0.9323050556983719,0.1330398630471998,6,8178
6,0.9425878320479862,0.11529189812388639,7,9541
7,0.9511568123393316,0.10179750550256786,8,10904
8,0.9588688946015425,0.09122034727317192,9,12267
9,0.9640102827763496,0.08253851797505503,10,13630
10,0.974293059125964,0.07583538984859602,11,14993
11,0.9777206512425022,0.06976033259965762,12,16356
12,0.9794344473007712,0.06450702635588916,13,17719
13,0.9820051413881749,0.06005659784089718,14,19082
14,0.9828620394173093,0.05610173636585963,15,20445
15,0.9862896315338475,0.052778796771826855,16,21808
16,0.9880034275921166,0.04976047645764102,17,23171
17,0.9880034275921166,0.046996005543327626,18,24534
18,0.9880034275921166,0.044522531567363015,19,25897
19,0.988860325621251,0.04233308877476156,20,27260
