,recall,precision,Top-K
0,0.6940874035989717,0.5942773294203962,1
1,0.8491859468723222,0.363536316947909,2
2,0.908311910882605,0.2592320860846173,3
3,0.9365895458440445,0.20047688921496698,4
4,0.9545844044558698,0.16346294937637565,5
5,0.9657240788346186,0.13780875519686964,6
6,0.974293059125964,0.11916989833350802,7
7,0.9777206512425022,0.10464049889948643,8
8,0.9820051413881749,0.09342137441917339,9
9,0.9862896315338475,0.08444607483492296,10
10,0.988860325621251,0.07696925231774829,11
11,0.9905741216795202,0.07067742724382489,12
12,0.9931448157669237,0.06541001185168463,13
13,0.9940017137960583,0.060790273556231005,14
14,0.9957155098543273,0.05683541208119344,15
15,0.9974293059125964,0.05337490829053558,16
16,0.9974293059125964,0.05023520780285702,17
17,0.9974293059125964,0.04744436292492052,18
18,0.998286203941731,0.044985905703363326,19
19,0.998286203941731,0.04273661041819516,20
