,recall,precision,Top-K
0,0.9923423423423423,0.8421253822629969,1
1,0.9986486486486487,0.42373853211009177,2
2,0.9990990990990991,0.2826197757390418,3
3,1.0,0.2121559633027523,4
4,1.0,0.16972477064220184,5
5,1.0,0.14143730886850153,6
6,1.0,0.12123197903014417,7
7,1.0,0.10607798165137615,8
8,1.0,0.09429153924566769,9
9,1.0,0.08486238532110092,10
10,1.0,0.07714762301918265,11
11,1.0,0.07071865443425077,12
12,1.0,0.0652787579393084,13
13,1.0,0.060615989515072084,14
14,1.0,0.05657492354740061,15
15,1.0,0.053038990825688075,16
16,1.0,0.049919050188882895,17
17,1.0,0.047145769622833844,18
18,1.0,0.04466441332689522,19
19,1.0,0.04243119266055046,20
