,recall,precision,Top-K
0,0.7463617463617463,0.2811276429130775,1
1,0.895010395010395,0.16855912294440095,2
2,0.9542619542619543,0.11981205951448708,3
3,0.9719334719334719,0.09152310101801096,4
4,0.9833679833679834,0.07407987470634299,5
5,0.9864864864864865,0.061929000261028454,6
6,0.9906444906444907,0.05330573889696834,7
7,0.9927234927234927,0.04674040720438528,8
8,0.9927234927234927,0.041547028626120246,9
9,0.9927234927234927,0.03739232576350822,10
10,0.9937629937629938,0.034028618210294015,11
11,0.9968814968814969,0.031290785695640824,12
12,0.9968814968814969,0.02888380218059153,13
13,0.9968814968814969,0.02682067345340642,14
14,0.9968814968814969,0.02503262855651266,15
15,0.9968814968814969,0.023468089271730618,16
16,0.9968814968814969,0.022087613432217053,17
17,0.9968814968814969,0.020860523797093883,18
18,0.9968814968814969,0.019762601491983677,19
19,0.9968814968814969,0.018774471417384496,20
