,recall,precision,Top-K
0,0.6743787489288775,0.5774027879677183,1
1,0.829477292202228,0.35509904622157007,2
2,0.8928877463581834,0.2548300317926143,3
3,0.9245929734361611,0.1979090242112986,4
4,0.934018851756641,0.15994130594277328,5
5,0.9502999143101971,0.13560772805086818,6
6,0.9562982005141388,0.11696887118750655,7
7,0.9605826906598115,0.10280630961115188,8
8,0.9648671808054842,0.09179098394065378,9
9,0.9674378748928878,0.08283198826118855,10
10,0.9674378748928878,0.07530180751017142,11
11,0.9682947729220223,0.06908779652726828,12
12,0.9717223650385605,0.06399909701450421,13
13,0.974293059125964,0.05958494916675401,14
14,0.9751499571550986,0.05566153093665933,15
15,0.9777206512425022,0.052320249449743214,16
16,0.9794344473007712,0.04932890250744465,17
17,0.9794344473007712,0.04658840792369773,18
18,0.9811482433590403,0.044213615476696146,19
19,0.9828620394173093,0.04207630227439472,20
